Name,Place,Machine ,Begin,End,Purpose ,Notable discovery,Comment
OLYMPUS,Desy,Doris,2012,2013,ep scattering, ,ARGUS site. Precisely determine the size of two-photon exchange in elastic ep scattering
H1,Desy,Hera,1992,2007,"Proton structure, DIS", , 
Hera-B,Desy,Hera,1999,2003,"B-physics, CP violation", , 
Hermes,Desy,Hera,1995,2007,quark-gluon structure of matter , , 
Zeus,Desy,Hera,1992,2007,"Proton structure, DIS", , 
PHENIX,BNL,RHIC,2000,2016,QGP studies, ,"Pioneering High Energy Nuclear Interaction eXperiment, sPHENIX is under construction in the old PHENIX hall and is expected to being taking data in 2023"
Phobos,BNL,RHIC,2000,2005,Heavy ion collisions, , 
BRAHMS,BNL,RHIC,2000,2006,Heavy ion collisions, , 
Star,BNL,RHIC,2004,--,QGP studies, ,Solenoidal Tracker at RHIC
SLD,SLAC,SLC,1992,1998,Z events,parity violation in Z Boson-b quark coupling,SLAC Large Detector
Mark I,SLAC,SLC,1973,1977,,,
Mark II,SLAC,SLC,1977,1990 ,Z events, , 
